Date,Open,High,Low,Close,Volume
2024-10-11,73.17,74.8,72.9,74.3,35367615
2024-10-14,75.44,76.82,75.21,76.2,33845634
2024-10-15,76.35,76.65,72.14,73.16,53153846
2024-10-16,73.24,73.49,71.67,73.12,35392097
2024-10-17,75.58,75.6,73.25,73.34,48848851
2024-10-18,74.46,75.15,74.1299,74.64,32075848
2024-10-21,74.06,75.421,73.18,75.05,37497864
2024-10-22,73.805,75.95,73.455,75.27,38153991
2024-10-23,74.17,74.47,70.28,71.79,59086068
2024-10-24,73.42,73.8,72.24,73.5,39306370
2024-10-25,74.7,77.0,74.39,74.74,57413024
2024-10-28,76.19,76.19,74.66,74.81,34581140
2024-10-29,74.93,77.455,74.07,76.88,39272579
2024-10-30,76.55,76.98,74.94,75.17,40236564
2024-10-31,73.31,73.33,69.4299,69.45,69452559
2024-11-01,70.08,72.36,69.97,70.97,48339443
2024-11-04,70.64,71.755,69.51,70.27,41107180
2024-11-05,70.95,73.24,70.915,72.94,39676266
2024-11-06,76.66,79.2201,76.1942,78.86,59397067
2024-11-07,80.16,82.93,80.1,82.55,49772598
2024-11-08,82.22,83.11,81.91,82.75,35029951
2024-11-11,83.33,83.4335,81.18,82.6,35403035
2024-11-12,82.54,82.97,80.65,82.15,34143025
2024-11-13,81.86,83.0901,80.68,81.79,37494539
2024-11-14,81.59,82.0299,79.62,80.06,38825655
2024-11-15,77.27,77.45,73.29,74.27,60300765
2024-11-18,74.93,76.74,74.31,75.77,38982617
2024-11-19,74.55,77.55,74.42,77.29,40044137
2024-11-20,77.15,77.29,74.11,77.2,50630319
2024-11-21,78.55,78.88,74.56,77.96,54932767
2024-11-22,77.64,78.61,76.88,78.25,39967439
2024-11-25,80.16,80.87,77.54,78.61,45757855
2024-11-26,79.29,80.25,78.89,79.83,34873599
2024-11-27,79.29,79.31,76.3322,77.9,39231823
2024-11-29,78.13,80.169,77.8501,79.89,20432861
2024-12-02,80.48,82.9461,80.29,82.48,36819091
2024-12-03,81.8,83.33,81.53,83.21,42405439
2024-12-04,84.87,86.37,84.5147,86.25,34996280
2024-12-05,86.25,86.64,85.34,85.54,27010202
2024-12-06,85.78,87.865,85.72,87.74,31370339
2024-12-09,87.25,87.6624,85.08,85.69,34788751
2024-12-10,86.25,87.12,84.0522,84.76,35770777
2024-12-11,86.88,89.62,86.68,89.29,37448946
2024-12-12,88.13,88.77,87.2819,87.52,33174152
2024-12-13,89.42,90.77,87.85,89.4,39831847
2024-12-16,90.72,93.7892,90.67,93.29,34983844
2024-12-17,92.33,92.9099,91.17,92.04,34584080
2024-12-18,91.65,92.5673,81.29,82.09,67424578
2024-12-19,84.27,84.5305,80.75,80.93,56658794
2024-12-20,79.06,85.86,78.5,83.03,72620472
2024-12-23,83.45,85.24,81.83,85.06,41822872
2024-12-24,85.95,88.48,85.64,88.44,24069774
2024-12-26,87.62,89.08,86.591,88.25,29802398
2024-12-27,86.37,86.585,82.28,84.66,51069489
2024-12-30,81.2,83.06,79.4125,81.26,51422034
2024-12-31,81.8,82.1599,78.68,79.13,52588835
2025-01-02,80.54,81.605,76.531,78.63,70685332
2025-01-03,79.99,82.91,79.62,82.4,46215782
2025-01-06,84.97,86.85,84.03,85.21,46025002
2025-01-07,85.72,85.89,79.705,80.62,55510477
2025-01-08,80.56,81.41,78.44,80.68,48010618
2025-01-10,78.8,78.82,75.23,76.83,72825832
2025-01-13,74.05,76.2,73.34,76.03,56691006
2025-01-14,77.48,78.06,74.1909,75.76,62635450
2025-01-15,79.31,81.475,78.6,80.88,53459576
2025-01-16,82.01,82.05,79.2,79.23,46527715
2025-01-17,83.69,83.94,81.84,83.14,43676083
2025-01-21,84.45,85.15,82.3305,84.52,41725896
2025-01-22,86.84,88.91,86.71,87.8,43132663
